City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cidreira,BR,-30.1811,-50.2056,48.33,77,7,4.34,clear sky
1,Zapolyarnyy,RU,69.4154,30.8136,36.68,79,2,4.72,clear sky
2,Atuona,PF,-9.8,-139.0333,78.17,72,10,11.97,clear sky
3,Butaritari,KI,3.0707,172.7902,81.5,77,5,10.96,clear sky
4,Ulladulla,AU,-35.35,150.4667,52.7,52,61,19.98,broken clouds
5,Katsuura,JP,35.1333,140.3,70.74,69,100,11.16,overcast clouds
6,Wolfhagen,DE,51.3261,9.1702,48.42,88,76,3.33,light rain
7,Tasiilaq,GL,65.6145,-37.6368,37.56,94,100,2.55,overcast clouds
8,Busselton,AU,-33.65,115.3333,54.93,71,100,5.41,overcast clouds
9,Carnarvon,AU,-24.8667,113.6333,59.23,68,0,18.03,clear sky
10,Olinda,BR,-8.0089,-34.8553,78.53,94,75,4.61,broken clouds
11,Dharchula,IN,29.85,80.5333,73.44,36,0,4.21,clear sky
12,Georgetown,MY,5.4112,100.3354,76.95,88,40,0.0,scattered clouds
13,Barrow,US,71.2906,-156.7887,37.42,87,100,20.71,overcast clouds
14,Bereznik,RU,62.8551,42.7072,58.75,74,88,0.85,overcast clouds
15,Arraial Do Cabo,BR,-22.9661,-42.0278,72.7,88,100,0.81,overcast clouds
16,Akyab,MM,20.15,92.9,82.02,80,35,11.59,scattered clouds
17,Albany,US,42.6001,-73.9662,75.63,75,35,4.5,scattered clouds
18,Taltal,CL,-25.4,-70.4833,55.04,84,4,1.52,clear sky
19,Sao Filipe,CV,14.8961,-24.4956,75.54,78,5,13.22,clear sky
20,Rikitea,PF,-23.1203,-134.9692,77.45,76,94,12.57,overcast clouds
21,Smithers,CA,54.7804,-127.1743,69.76,30,81,4.47,broken clouds
22,Punta Arenas,CL,-53.15,-70.9167,28.51,93,0,4.61,clear sky
23,Bluff,NZ,-46.6,168.3333,56.8,74,100,4.68,overcast clouds
24,Laguna,US,38.421,-121.4238,90.14,16,0,8.05,clear sky
25,Pacific Grove,US,36.6177,-121.9166,75.54,64,0,8.01,clear sky
26,Mataura,NZ,-46.1927,168.8643,56.48,73,100,4.5,overcast clouds
27,East London,ZA,-33.0153,27.9116,56.17,53,10,10.54,clear sky
28,Haines Junction,CA,60.7522,-137.5108,68.77,23,15,8.21,few clouds
29,Kodiak,US,57.79,-152.4072,49.51,71,100,8.05,overcast clouds
30,Pinheiro Machado,BR,-31.5783,-53.3811,34.05,87,15,1.01,few clouds
31,Ponta Delgada,PT,37.7333,-25.6667,61.52,77,40,12.66,scattered clouds
32,Calama,CL,-22.4667,-68.9333,42.96,51,1,2.86,clear sky
33,Jamestown,US,42.097,-79.2353,74.84,52,0,1.01,clear sky
34,Hobart,AU,-42.8794,147.3294,52.02,77,75,17.27,light intensity shower rain
35,Lompoc,US,34.6391,-120.4579,76.69,62,0,32.01,clear sky
36,Izhma,RU,65.0083,53.9113,49.96,63,34,5.35,scattered clouds
37,Saint George,US,37.1041,-113.5841,84.63,12,0,10.0,clear sky
38,Saint-Philippe,RE,-21.3585,55.7679,71.19,71,46,12.26,scattered clouds
39,Abbeville,FR,50.1,1.8333,55.36,95,3,7.05,clear sky
40,Bethel,US,41.3712,-73.414,77.85,69,20,5.75,few clouds
41,Belyy Yar,RU,53.6039,91.3903,63.86,59,0,0.0,clear sky
42,Rio Grande,BR,-32.035,-52.0986,46.78,62,77,5.41,broken clouds
43,Sitka,US,57.0531,-135.33,51.69,87,100,3.44,overcast clouds
44,Marau,BR,-28.4492,-52.2,39.02,94,1,4.54,clear sky
45,Port Alfred,ZA,-33.5906,26.891,56.05,68,14,13.78,few clouds
46,Opuwo,NA,-18.0607,13.84,58.32,29,68,12.41,broken clouds
47,Kehl,DE,48.573,7.8152,58.01,69,0,1.14,clear sky
48,New Richmond,US,45.123,-92.5366,63.19,67,75,18.41,broken clouds
49,Teguise,ES,29.0605,-13.564,66.0,86,0,3.06,clear sky
50,Ushuaia,AR,-54.8,-68.3,36.7,94,100,1.92,overcast clouds
51,Mahebourg,MU,-20.4081,57.7,71.89,60,40,11.5,scattered clouds
52,Saldanha,ZA,-33.0117,17.9442,54.79,70,0,2.44,clear sky
53,Severo-Kurilsk,RU,50.6789,156.125,44.24,77,57,3.56,broken clouds
54,Vostok,RU,46.4856,135.8833,55.13,65,87,1.95,overcast clouds
55,Ankazobe,MG,-18.3167,47.1167,49.95,89,0,3.11,clear sky
56,Russell,US,32.3502,-85.1999,80.91,94,40,3.44,scattered clouds
57,Les Cayes,HT,18.2,-73.75,78.39,83,63,4.27,broken clouds
58,Guanare,VE,9.0418,-69.7421,76.46,72,7,3.67,clear sky
59,Olafsvik,IS,64.8945,-23.7142,48.56,91,72,5.23,broken clouds
60,Ambon,ID,-3.6954,128.1814,86.14,74,20,3.44,few clouds
61,Melilla,ES,35.2937,-2.9383,70.18,52,0,2.3,clear sky
62,Tingo Maria,PE,-9.2895,-76.0088,69.01,98,100,2.28,overcast clouds
63,Antofagasta,CL,-23.65,-70.4,56.98,83,58,0.67,broken clouds
64,Leshukonskoye,RU,64.8989,45.7622,50.27,63,7,4.0,clear sky
65,Ilulissat,GL,69.2167,-51.1,33.82,80,75,5.75,broken clouds
66,Bredasdorp,ZA,-34.5322,20.0403,48.85,67,0,7.18,clear sky
67,Hilo,US,19.7297,-155.09,89.28,70,75,9.22,broken clouds
68,Mola Di Bari,IT,41.0609,17.0873,75.31,76,6,8.05,clear sky
69,Faanui,PF,-16.4833,-151.75,80.96,73,100,20.87,light rain
70,Nikolskoye,RU,59.7035,30.7861,50.81,97,3,4.7,clear sky
71,Avarua,CK,-21.2078,-159.775,75.25,78,75,17.27,broken clouds
72,Klaksvik,FO,62.2266,-6.589,41.92,83,14,2.66,few clouds
73,Port Elizabeth,ZA,-33.918,25.5701,54.82,70,10,10.2,clear sky
74,Ruwi,OM,23.5996,58.5507,85.23,58,0,3.42,clear sky
75,Dikson,RU,73.5069,80.5464,28.42,92,97,22.03,overcast clouds
76,Mumford,GH,5.2618,-0.759,78.62,84,100,5.06,overcast clouds
77,Longyearbyen,SJ,78.2186,15.6401,44.44,81,75,2.3,broken clouds
78,Nisia Floresta,BR,-6.0911,-35.2086,77.81,93,29,5.28,scattered clouds
79,Kurchum,KZ,48.5722,83.6542,61.88,74,100,11.23,light rain
80,Cape Town,ZA,-33.9258,18.4232,59.38,82,0,3.0,clear sky
81,Cockburn Town,TC,21.4612,-71.1419,80.31,81,94,16.6,overcast clouds
82,Puerto Ayora,EC,-0.7393,-90.3518,72.3,91,62,8.7,broken clouds
83,Puerto Madryn,AR,-42.7692,-65.0385,42.48,70,15,12.53,few clouds
84,Pevek,RU,69.7008,170.3133,34.09,84,85,1.68,overcast clouds
85,Yellowknife,CA,62.456,-114.3525,62.56,27,6,4.0,clear sky
86,Kapaa,US,22.0752,-159.319,82.38,75,20,12.66,few clouds
87,Kalasin,TH,16.5,103.5,86.05,99,100,4.23,overcast clouds
88,Manavalakurichi,IN,8.1333,77.3,78.93,82,86,15.93,overcast clouds
89,Vanavara,RU,60.34,102.2797,46.09,84,86,7.65,overcast clouds
90,Manggar,ID,-2.8833,108.2667,82.13,79,88,5.28,overcast clouds
91,Larimna,GR,38.5667,23.2833,71.04,58,81,1.88,broken clouds
92,Tiksi,RU,71.6872,128.8694,32.86,87,100,7.36,overcast clouds
93,Calabozo,VE,8.9242,-67.4293,81.03,37,92,5.84,overcast clouds
94,Moron,AR,-34.6534,-58.6198,46.98,71,42,1.61,scattered clouds
95,Beyneu,KZ,45.3167,55.2,74.64,41,0,8.88,clear sky
96,Bluffton,US,32.2371,-80.8604,78.82,83,20,1.01,few clouds
97,Limbang,MY,4.75,115.0,84.31,62,39,0.96,scattered clouds
98,Cairns,AU,-16.9167,145.7667,83.1,71,29,5.75,scattered clouds
99,Darien,US,41.752,-87.974,85.48,56,75,10.36,broken clouds
100,Port Blair,IN,11.6667,92.75,82.04,82,100,9.71,overcast clouds
101,Vao,NC,-22.6667,167.4833,76.73,82,6,5.01,clear sky
102,Airai,TL,-8.9266,125.4092,70.29,63,100,0.94,overcast clouds
103,Redmond,US,47.674,-122.1215,73.81,62,40,8.01,scattered clouds
104,Narsaq,GL,60.9167,-46.05,50.22,77,100,5.68,overcast clouds
105,Lebu,CL,-37.6167,-73.65,42.28,79,0,5.44,clear sky
106,Fort Nelson,CA,58.8053,-122.7002,72.57,21,54,3.38,broken clouds
107,Kavaratti,IN,10.5669,72.642,81.95,78,100,17.69,light rain
108,Eydhafushi,MV,5.1033,73.0708,81.45,78,100,18.88,overcast clouds
109,Hasaki,JP,35.7333,140.8333,77.29,65,100,3.09,overcast clouds
110,Qaanaaq,GL,77.484,-69.3632,20.68,81,12,4.03,few clouds
111,Torbay,CA,47.6666,-52.7314,40.75,93,100,19.57,light intensity drizzle
112,Saskylakh,RU,71.9167,114.0833,30.79,83,100,10.67,overcast clouds
113,Khash,IR,28.2211,61.2158,67.73,16,0,6.71,clear sky
114,Walvis Bay,NA,-22.9575,14.5053,73.71,17,0,21.21,clear sky
115,Clyde River,CA,70.4692,-68.5914,29.3,87,100,6.98,overcast clouds
116,Mazagao,BR,-0.115,-51.2894,80.65,97,79,3.36,moderate rain
117,Hermanus,ZA,-34.4187,19.2345,54.48,68,0,10.07,clear sky
118,Norman Wells,CA,65.282,-126.8329,72.64,25,86,7.65,overcast clouds
119,Kuching,MY,1.55,110.3333,80.82,89,40,5.99,scattered clouds
120,Sinjai,ID,-5.1241,120.253,83.37,75,22,1.36,few clouds
121,Mwanza,TZ,-2.5167,32.9,67.15,80,45,8.21,scattered clouds
122,Imbituba,BR,-28.24,-48.6703,57.85,88,100,3.47,overcast clouds
123,Vardo,NO,70.3705,31.1107,42.15,90,52,8.43,broken clouds
124,Knysna,ZA,-34.0363,23.0471,53.08,60,12,4.23,few clouds
125,Busia,UG,0.4544,34.0758,63.86,90,72,3.6,broken clouds
126,Zaragoza,ES,41.6561,-0.8773,74.01,53,0,8.05,clear sky
127,San Cristobal,VE,7.7669,-72.225,71.78,89,22,1.01,few clouds
128,Vaini,TO,-21.2,-175.2,80.76,78,75,5.75,broken clouds
129,Iquique,CL,-20.2208,-70.1431,62.64,81,83,1.52,broken clouds
130,Cuapiaxtla,MX,19.3,-97.7667,62.11,63,97,9.98,overcast clouds
131,Kirakira,SB,-10.4544,161.9205,86.2,67,100,6.69,light rain
132,Falciu,RO,46.2961,28.1408,62.74,93,16,5.06,few clouds
133,Mapastepec,MX,15.4333,-92.9,74.08,91,100,4.52,overcast clouds
134,Muli,MV,2.9167,73.5667,81.75,78,100,15.86,overcast clouds
135,Cervo,ES,43.6702,-7.4101,59.97,93,99,12.55,overcast clouds
136,Canutama,BR,-6.5339,-64.3831,75.13,94,100,1.77,overcast clouds
137,Gurh,IN,24.5167,81.5167,91.36,21,0,5.06,clear sky
138,Beira,MZ,-19.8436,34.8389,69.1,79,53,16.69,light rain
139,Minna,NG,9.6139,6.5569,75.33,78,100,2.42,overcast clouds
140,Provost,CA,52.3501,-110.2683,60.53,41,90,13.11,overcast clouds
141,Hope,US,33.6671,-93.5916,87.85,74,0,6.33,clear sky
142,Korocha,RU,50.8107,37.1953,59.72,96,99,6.11,overcast clouds
143,Booue,GA,-0.0921,11.9385,72.1,98,100,1.68,light rain
144,Rabo De Peixe,PT,37.8,-25.5833,60.31,92,40,12.66,scattered clouds
145,Xichang,CN,27.8964,102.2634,68.2,88,95,1.32,overcast clouds
146,Lata,PT,40.1629,-8.3327,65.07,94,32,3.87,scattered clouds
147,La Crosse,US,43.8014,-91.2396,75.33,50,0,13.8,clear sky
148,Kibuye,RW,-2.0597,29.3482,64.53,84,73,2.68,light rain
149,Leningradskiy,RU,69.3833,178.4167,36.5,92,100,3.27,overcast clouds
150,Avera,US,33.194,-82.5271,81.55,55,60,5.14,broken clouds
151,Nanortalik,GL,60.1432,-45.2371,37.44,88,100,4.38,overcast clouds
152,Lavrentiya,RU,65.5833,-171.0,41.0,77,100,3.71,overcast clouds
153,Ponta Do Sol,PT,32.6667,-17.1,67.71,82,13,9.73,light rain
154,Rincon,US,32.296,-81.2354,77.86,81,40,5.75,scattered clouds
155,Ahipara,NZ,-35.1667,173.1667,65.21,79,100,17.05,overcast clouds
156,Micheweni,TZ,-4.9667,39.8333,75.97,81,27,10.13,light rain
157,Alice Springs,AU,-23.7,133.8833,49.55,93,100,10.36,overcast clouds
158,Hualmay,PE,-11.0964,-77.6139,63.12,80,27,9.48,scattered clouds
159,Nanhai,CN,30.1282,111.7784,78.78,80,84,4.21,broken clouds
160,Cabo San Lucas,MX,22.8909,-109.9124,88.61,51,0,5.99,clear sky
161,Kutum,SD,14.2,24.6667,75.85,12,9,4.74,clear sky
162,Terra Santa,BR,-2.1042,-56.4869,72.77,97,84,3.62,broken clouds
163,Louis Trichardt,ZA,-23.0439,29.9032,48.04,74,0,7.74,clear sky
164,Port Lincoln,AU,-34.7333,135.8667,55.54,58,100,8.05,overcast clouds
165,Aleksandrov Gay,RU,50.147,48.5704,57.38,66,13,8.7,few clouds
166,Beringovskiy,RU,63.05,179.3167,39.04,79,18,5.64,few clouds
167,Khatanga,RU,71.9667,102.5,40.77,60,100,9.66,overcast clouds
168,Fortuna,US,40.5982,-124.1573,63.86,75,0,14.97,clear sky
169,Ancud,CL,-41.8697,-73.8203,39.22,87,1,4.21,clear sky
170,Chumikan,RU,54.7183,135.315,33.85,98,100,12.55,light snow
171,Brookhaven,US,31.5791,-90.4407,78.46,82,50,6.11,scattered clouds
172,Srednekolymsk,RU,67.45,153.6833,69.35,37,100,14.12,overcast clouds
173,Ghugus,IN,19.9333,79.1333,92.52,37,74,8.25,broken clouds
174,Bellefontaine,US,40.3612,-83.7597,79.5,56,0,6.91,clear sky
175,Maniitsoq,GL,65.4167,-52.9,38.19,71,1,11.27,clear sky
176,Berlevag,NO,70.8578,29.0864,39.15,93,100,12.66,overcast clouds
177,Provideniya,RU,64.3833,-173.3,39.31,87,0,13.42,clear sky
178,Vyshneve,UA,50.3891,30.3705,54.1,85,17,5.61,few clouds
179,Sorong,ID,-0.8833,131.25,82.78,75,78,0.81,broken clouds
180,San Quintin,MX,30.4833,-115.95,64.2,70,0,13.42,clear sky
181,Pitimbu,BR,-7.4706,-34.8086,75.79,85,34,6.06,scattered clouds
182,Honiara,SB,-9.4333,159.95,85.98,65,100,1.99,overcast clouds
183,Lhokseumawe,ID,5.1801,97.1507,78.44,79,100,4.43,overcast clouds
184,Tautira,PF,-17.7333,-149.15,79.36,79,100,19.1,overcast clouds
185,Mar Del Plata,AR,-38.0023,-57.5575,42.1,64,0,4.61,clear sky
186,Husavik,IS,66.0449,-17.3389,44.4,92,94,4.36,overcast clouds
187,Isangel,VU,-19.55,169.2667,83.07,72,4,4.05,clear sky
188,Ormara,PK,25.2088,64.6357,81.09,84,0,15.64,clear sky
189,Alta Floresta,BR,-9.8756,-56.0861,73.6,56,5,3.31,clear sky
190,Saint-Augustin,CA,51.226,-58.6502,39.04,91,100,19.51,overcast clouds
191,San Andres,CO,12.5847,-81.7006,82.42,83,40,5.75,scattered clouds
192,New Norfolk,AU,-42.7826,147.0587,51.66,75,75,3.0,light rain
193,Kikwit,CD,-5.041,18.8162,71.01,65,55,2.86,broken clouds
194,Aiquile,BO,-18.2041,-65.1807,51.1,95,88,0.4,overcast clouds
195,San Patricio,US,28.017,-97.5169,84.92,69,22,14.0,few clouds
196,Fomboni,KM,-12.28,43.7425,80.19,60,59,15.59,broken clouds
197,Tuktoyaktuk,CA,69.4541,-133.0374,33.69,76,56,6.89,broken clouds
198,Havelock,US,34.8791,-76.9013,80.02,85,8,1.99,clear sky
199,The Valley,AI,18.217,-63.0578,80.1,83,20,6.91,few clouds
200,Derzhavinsk,KZ,51.1,66.3167,52.12,81,14,13.02,few clouds
201,Odweyne,SO,9.4092,45.064,74.73,51,4,11.39,clear sky
202,Macedo De Cavaleiros,PT,41.5382,-6.9611,58.71,78,6,0.98,clear sky
203,Hithadhoo,MV,-0.6,73.0833,83.57,69,100,9.75,overcast clouds
204,Palmer,US,42.1584,-72.3287,71.2,75,100,1.01,overcast clouds
205,Saint-Pierre,RE,-21.3393,55.4781,71.28,73,0,16.11,clear sky
206,Rexburg,US,43.826,-111.7897,58.51,53,100,9.22,overcast clouds
207,Talnakh,RU,69.4865,88.3972,33.21,75,93,14.0,overcast clouds
208,Nanakuli,US,21.3906,-158.1547,84.15,57,0,19.57,clear sky
209,Dunedin,NZ,-45.8742,170.5036,55.8,62,100,3.0,overcast clouds
210,Canandaigua,US,42.8742,-77.288,77.79,85,98,8.28,overcast clouds
211,Cherskiy,RU,68.75,161.3,65.79,36,96,16.91,overcast clouds
212,Praya,CV,14.9215,-23.5087,73.94,73,40,18.41,scattered clouds
213,Tabou,CI,4.423,-7.3528,77.94,84,99,4.94,overcast clouds
214,Kaitangata,NZ,-46.2817,169.8464,56.52,70,100,2.93,overcast clouds
215,Mount Gambier,AU,-37.8333,140.7667,50.27,62,99,9.04,overcast clouds
216,Poum,NC,-20.2333,164.0167,79.59,79,100,5.55,overcast clouds
217,Isiro,CD,2.7739,27.616,64.72,98,81,2.44,light rain
218,Ariquemes,BR,-9.9133,-63.0408,77.74,73,53,1.05,broken clouds
219,Nizhniy Lomov,RU,53.5304,43.6766,55.31,83,90,6.17,overcast clouds
220,Codrington,AU,-38.2667,141.9667,52.41,60,92,18.34,overcast clouds
221,Zwedru,LR,6.0667,-8.1281,71.94,99,100,2.66,overcast clouds
222,Kurtalan,TR,37.9272,41.7028,68.09,47,0,3.78,clear sky
223,Price,US,39.5994,-110.8107,58.26,24,100,7.49,overcast clouds
224,Tambovka,RU,50.0969,128.0489,57.6,64,100,4.27,overcast clouds
225,Banjar,ID,-8.19,114.9675,84.0,69,41,2.15,scattered clouds
226,Nouadhibou,MR,20.931,-17.0347,68.4,84,23,21.21,few clouds
227,Esperance,AU,-33.8667,121.9,58.17,64,100,6.98,overcast clouds
228,Fez,MA,34.0372,-4.9998,64.65,51,0,6.91,clear sky
229,Makokou,GA,0.5738,12.8642,69.46,97,100,1.21,light rain
230,Zachary,US,30.6485,-91.1565,80.73,69,0,4.61,clear sky
231,Hundorp,NO,61.5552,9.9407,49.62,96,100,3.18,overcast clouds
